's-Gravenhage,'s-Gravenhage,Dutch,
's-Gravenhage,Den Haag,German,
's-Gravenhage,The Hague,English,
Adrianoupolis,Adrianoupolis,Byzantine,
Aix-en-Provence,Aix-en-Provence,French,
Akabe,Akabe,Turkish,
Akhenaten,Al-'Amarna,Arabian,
Aksehir,Aksehir,Turkish,
Al-Jazair,Al-Jazair,Arabian,
Al-Ladhiqiyah,Lazkiye,Turkish,
Al-Qahirah,Al-Qahirah,Arabian,
Al-Qahirah,El-Qahirah,Egyptian_Arabic,
Al-Qahirah,Ineb Hedj,Egyptian,
Al-Qahirah,Kair,Polish,
An-Najaf,An-Najaf,Arabian,
Andahuailas,Andahuaylas,Spanish,
Ankuwash,Ancyra,Latin,
Ankuwash,Ankyra,Byzantine,
Ankuwash,Ankyra,Greek,
Ankuwash,Anqarah,Arabian,
Anshan,Ansan,Korean,
Anshan,Anshan,Chinese,
Antiocheia,Antakiyyah,Arabian,
Antiocheia,Antiocheia,Byzantine,
Antiocheia,Antiochia,Polish,
Aomen,Aomen,Chinese,
Aomen,Aomen,Japanese,
Aomen,Macao,French,
Aomen,Macao,German,
Aomen,Macao,Spanish,
Aomen,Macau,Dutch,
Aomen,Macau,English,
Aomen,Macau,Portuguese,
Athinai,Atenas,Spanish,
Athinai,Ateny,Polish,
Athinai,Athen,German,
Athinai,Athenae,Latin,
Athinai,Athinai,Byzantine,
Athinai,Athinai,Greek,
Athinai,Athènes,French,
Athinai,Atina,Arabian,
Athinai,Atina,Turkish,
Atico,Atico,Spanish,
Azak,Azak,Turkish,
Babilû,Babil,Arabian,
Babilû,Babil,Turkish,
Babilû,Babilonia,Italian,
Babilû,Babilû,Babylonian,
Babilû,Babirush,Persian,
Babilû,Vavilon,Russian,
Bandar Melaka,Bandar Melaka,Khmer,
Bang Makok,Bankoku,Japanese,
Bangazi,Bangazi,Arabian,
Bangazi,Bangazi,Egyptian_Arabic,
Bangazi,Bangazi,English,
Bijayah,Bijayah,Arabian,
Bijayah,Béjaïa,French,
Boulogne,Boulogne,French,x
Braga,Braga,Spanish,
Brest-Litowsk,Brest-Litowsk,German,
Brundisium,Brentesion,Greek,
Brundisium,Brundisium,Latin,
Byzantion,Bizantiya,Arabian,
Byzantion,Byzantion,Greek,
Byzantion,Byzanz,German,
Byzantion,Car'grad,Russian,
Byzantion,Constantinopoli,Italian,
Byzantion,Constantinopolis,Latin,
Byzantion,Konstantinoupolis,Byzantine,
Byzantion,Kostantiniyye,Turkish,
Byzantion,Miklagard,Norse,
Caerleon,Caerleon,English,
Canusium,Canosa di Puglia,Italian,
Cape of Good Hope,Cabo de Buena Esperanza,Spanish,
Cape of Good Hope,Cap de Bonne-Espérance,French,
Cape of Good Hope,Cape of Good Hope,English,
Cape of Good Hope,Capo de Boa Esperança,Portuguese,
Cape of Good Hope,Kaap de Goede Hoop,Dutch,
Cape of Good Hope,Kap der Guten Hoffnung,German,
Caqonatambu,Limatambo,Spanish,
Caxamalca,Caxamalca,Spanish,
Changjin,Changjin,Chinese,
Chuitu,Chuito,Spanish,
Chuqiapu,Chuquiapo,Spanish,
Coburg,Coburg,German,
Constantinopolis,Balozrom,Persian,
Constantinopolis,Car'grad,Russian,
Constantinopolis,Constantinopoli,Italian,
Constantinopolis,Constantinopolis,Latin,
Constantinopolis,Konstantinopel,German,
Constantinopolis,Konstantinoupolis,Byzantine,
Constantinopolis,Konstantinoupolis,Greek,
Constantinopolis,Konstantynopol,Polish,
Constantinopolis,Kostantiniyye,Turkish,
Constantinopolis,Miklagard,Norse,
Constantinopolis,Qustantiniyah,Arabian,
Dagou,Dagou,Chinese,
Dagou,Fort Willoughby,English,
Dagou,Tagu,Korean,
Dagou,Takao,Japanese,
Danibaan,Atzompan,Aztec,
Danibaan,Danibaan,Mayan,
Danibaan,Monte Albán,Spanish,
Delphoi,Delphi,Latin,
Delphoi,Delphoi,Greek,
Dobruja,Dobruca,Turkish,
Dobruja,Dobrudscha,German,
Dobruja,Dobruja,Russian,
Doliwa,Doliwa,Russian,
Doliwa,Romasdorf,German,
Dur Untash,Chogha Zanbil,Persian,
Durostulon,Durostulon,Byzantine,
Durostulon,Silistre,Turkish,
Eko,Eko,Congolese,
Fderik,Fderik,Ethiopian,
Fderik,Fderik,Malian,
Fort Dauphin,Fort Dauphin,French,
Fort Dauphin,Toranaro,Japanese,
Fort Elizabeth,Elizavetinskaja Krepost',Russian,
Fort Elizabeth,Fort Elizabeth,English,
Fort Rosalie,Fort Panmure,American,
Fort Rosalie,Fort Panmure,English,
Fort Rosalie,Fort Rosalie,French,
Gaoxiong,Fort Willoughby,English,
Gaoxiong,Go'woong,Korean,
Gaoxiong,Takao,Japanese,
Groznyj,Grozni,Turkish,
Groznyj,Groznyj,Russian,
Guatemala,Guatemala City,American,
Hailaer,Hairaru,Japanese,
Hamhung,Kanko,Japanese,
Haojing,Haojing,Chinese,
Haojing,Haojing,Japanese,
Haojing,Hogyeong,Korean,
Haojing,Macao,French,
Haojing,Macao,German,
Haojing,Macao,Spanish,
Haojing,Macau,Dutch,
Haojing,Macau,English,
Haojing,Macau,Portuguese,
Hattusas,Bogazköy,Turkish,
Hegang,Hakgang,Korean,
Hegang,Hakuniuu,Japanese,
Hegang,Hegang,Chinese,
